glp1hxfer6mUP	glp1hxfer6mDOWN	glp1hxWTmUP	glp1hxWTmDOWN
		F44C4.5	Y39G8B.7
		H14E04.2	D2096.7
		C10F3.2	Y53F4B.29
		F32H5.7	Y57A10A.23
		Y46E12A.1	C25A1.12
		K08F4.10	F49E11.10
		M03A1.7	W09B6.4
		F30B5.7	F56B3.2
		Y62H9A.6	C02F5.3
		ZC328.3	Y46H3D.6
		T23F2.3	Y32B12C.5
		F43G9.9	C45B11.7
		T04C12.5	H24K24.3
		C31G12.2	Y51H7C.1
		T11F9.7	F43G9.1
		W07G1.7	W01A8.1
		Y39B6A.24	Y46H3D.7
		F57H12.6	Y116A8C.27
		Y46C8AL.8	Y60A3A.13
		W09G12.7	T20C7.2
		F56C4.3	B0286.3
		Y19D10A.9	C45B2.6
		C08F8.7	F17H10.1
		Y75B8A.39	Y18D10A.3
		H01A20.1	K04G2.3
		F26F12.3	Y15E3A.5
		D1086.17	C23H3.9
		F10C2.7	F42A10.1
		F17E9.13	Y51H7C.13
		T05C3.4	W01A11.1
		F32H2.6	C33C12.3
		Y18D10A.7	Y73B6BL.43
		W03A5.3	VC5.3
		Y39A3CL.6	T07D3.9
		ZK813.2	C33F10.7
		T13F3.6	Y41D4B.8
		F21H7.1	C39B10.6
		F28F8.1	C53H9.2
		K11G12.4	C50F2.9
		T14E8.1	Y54G9A.7
		F55B11.2	C10G11.6
		ZK384.6	F38A3.1
		F17C11.11	F40H3.2
		C14E2.5	C11H1.4
		C24G7.2	C50H11.1
		Y73F8A.34	C05C10.3
		T21G5.4	C09F9.7
		T01H8.2	C54D1.1
		C17G1.6	Y69H2.10
		C07A9.6	F17A9.5
		F35C12.3	C16A3.6
		C12D5.9	F17E9.1
		Y76A2A.2	F41B4.1
		C01A2.4	C46F2.1
		C46G7.2	T19A6.2
		F54F7.9	F10C2.5
		C04G2.8	K10B3.8
		T14G10.3	Y113G7B.17
		K08D10.9	F58H7.5
		C45B2.3	F10D2.5
		VK10D6R.1	T24D5.3
		K08F4.12	C28D4.2
		K11D12.4	Y51F10.7
		Y38F2AR.9	C34D10.2
		F08F3.3	F56H6.11
		Y47D3B.9	F21C3.2
		C33H5.13	Y53G8B.1
		T05F1.9	K01A11.2
		T27E9.4	ZK546.17
		Y57G11C.1130	F39G3.8
		W05H9.3	K08B4.1
		F21E9.3	C23H4.2
		C38D4.4	F49C12.6
		EGAP4.1	F54D8.1
		T22F3.10	C27H5.2
		F55H12.7	C34B4.3
		C24A1.2	K01A2.2
